date,min,average,max
1960-01-01,-0.6,1.8190476190476195,5.3
1960-01-02,-2.8,1.167647058823529,4.6
1960-01-03,-3.0,3.9175000000000004,10.7
1960-01-04,4.1,9.491666666666665,16.1
1960-01-05,-3.8,1.3456521739130431,7.5
1960-01-06,-6.2,-3.475,0.0
1960-01-07,-6.2,-1.0238095238095233,5.7
1960-01-08,-0.4,2.129411764705882,5.0
1960-01-09,0.6,3.705882352941177,7.5
1960-01-10,-1.0,3.8764705882352937,10.0
1960-01-11,-2.4,2.1470588235294117,4.3
1960-01-12,-4.9,-0.5558823529411765,4.0
1960-01-13,-4.8,-0.07941176470588246,5.1
1960-01-14,-2.4,1.9205882352941175,7.8
1960-01-15,-4.9,0.39705882352941174,5.9
1960-01-16,-3.4,-1.641176470588235,-0.1
1960-01-17,-6.7,-3.9029411764705886,-0.9
1960-01-18,-10.8,-4.138235294117647,2.4
1960-01-19,-3.8,0.11470588235294116,4.6
1960-01-20,-2.4,1.752941176470588,5.6
1960-01-21,-3.6,0.711764705882353,3.1
1960-01-22,-6.3,-4.025,-1.7
1960-01-23,-9.8,-7.96764705882353,-6.2
1960-01-24,-13.3,-9.079411764705881,-5.3
1960-01-25,-11.3,-5.526470588235293,0.7
1960-01-26,-7.0,-3.8088235294117645,-1.4
1960-01-27,-7.6,-5.26470588235294,-3.4
1960-01-28,-11.1,-6.555882352941176,-2.3
1960-01-29,-8.4,-3.1470588235294117,2.0
1960-01-30,-5.8,-0.06470588235294115,5.5
1960-01-31,-4.4,1.1764705882352944,7.0
1960-02-01,-4.1,2.526470588235294,8.7
1960-02-02,-5.3,1.6558823529411768,7.6
1960-02-03,2.2,4.161764705882353,7.6
1960-02-04,-1.4,1.8529411764705879,4.8
1960-02-05,-3.7,1.5638888888888889,6.9
1960-02-06,-3.1,4.805555555555555,12.8
1960-02-07,3.4,9.08333333333333,15.1
1960-02-08,2.6,6.402777777777777,9.1
1960-02-09,4.7,7.547222222222222,12.1
1960-02-10,-1.4,1.5333333333333332,5.1
1960-02-11,-3.8,-0.005555555555555548,3.9
1960-02-12,-2.8,-0.6833333333333333,2.7
1960-02-13,-6.5,0.5055555555555556,6.6
1960-02-14,-0.2,3.5916666666666663,7.0
1960-02-15,-4.2,0.016666666666666594,3.9
1960-02-16,-5.4,1.677777777777778,8.8
1960-02-17,-0.2,4.713888888888888,11.0
1960-02-18,-1.7,1.7583333333333333,5.6
1960-02-19,-3.5,3.4638888888888886,9.9
1960-02-20,-1.3,5.4111111111111105,11.3
1960-02-21,0.0,2.4861111111111116,5.4
1960-02-22,-3.0,2.5777777777777775,9.1
1960-02-23,-2.2,5.258333333333334,12.8
1960-02-24,-1.8,6.002777777777777,15.2
1960-02-25,0.7,9.622222222222224,18.1
1960-02-26,6.8,9.024999999999999,10.6
1960-02-27,1.6,5.311111111111112,10.0
1960-02-28,-1.9,4.969444444444445,12.2
1960-02-29,-0.7,4.775000000000001,10.8
1960-03-01,-1.0,7.955555555555557,16.4
1960-03-02,1.3,8.894444444444446,16.6
1960-03-03,1.6,7.641666666666666,12.0
1960-03-04,4.6,9.45,15.7
1960-03-05,6.2,10.197222222222223,15.4
1960-03-06,9.1,12.67777777777778,17.8
1960-03-07,6.7,11.672222222222224,15.2
1960-03-08,3.2,10.077777777777778,16.5
1960-03-09,7.2,10.030555555555555,11.7
1960-03-10,7.0,10.613888888888889,15.9
1960-03-11,5.2,11.891666666666667,17.8
1960-03-12,-0.4,8.308333333333332,11.8
1960-03-13,-4.0,0.5972222222222224,5.2
1960-03-14,-3.1,3.052777777777778,9.2
1960-03-15,-1.0,6.136111111111111,12.3
1960-03-16,1.7,5.349999999999998,8.6
1960-03-17,-0.4,7.083333333333334,13.3
1960-03-18,0.0,8.261111111111113,15.7
1960-03-19,0.4,8.863888888888889,15.8
