date,min,average,max
1960-01-01,-0.8,1.96875,5.1
1960-01-02,-1.6,1.4979166666666668,4.9
1960-01-03,0.3,5.273913043478262,11.2
1960-01-04,10.3,12.075000000000001,14.7
1960-01-05,-5.1,1.4545454545454546,9.7
1960-01-06,-7.5,-3.2187500000000004,0.8
1960-01-07,-1.1,2.8458333333333328,7.8
1960-01-08,0.1,3.0522727272727277,6.4
1960-01-09,1.5,5.474999999999999,10.3
1960-01-10,3.4,5.958333333333333,9.0
1960-01-11,-2.0,2.704166666666666,5.2
1960-01-12,-3.8,-0.49166666666666675,4.0
1960-01-13,-4.7,-0.6229166666666665,3.8
1960-01-14,-0.6,3.5604166666666672,8.9
1960-01-15,-3.2,-0.29772727272727273,2.8
1960-01-16,-2.4,-0.8886363636363637,0.5
1960-01-17,-5.6,-2.9925,1.5
1960-01-18,-3.9,-0.3777777777777778,3.6
1960-01-19,-3.2,0.9227272727272727,4.5
1960-01-20,0.7,2.1604166666666664,4.4
1960-01-21,-4.8,-1.1458333333333333,1.6
1960-01-22,-7.3,-4.321739130434781,0.3
1960-01-23,-10.6,-8.195,-4.9
1960-01-24,-14.0,-8.805263157894737,-5.1
1960-01-25,-10.0,-4.627083333333334,2.5
1960-01-26,-9.0,-4.9875,-2.6
1960-01-27,-9.7,-6.375,-3.8
1960-01-28,-11.3,-6.043181818181821,-0.9
1960-01-29,-6.4,-2.2895833333333333,3.4
1960-01-30,-1.7,1.9145833333333337,7.3
1960-01-31,0.1,3.1625,7.2
1960-02-01,-0.3,2.922916666666666,8.4
1960-02-02,0.1,1.9090909090909094,5.5
1960-02-03,1.5,3.7478260869565205,8.2
1960-02-04,-1.5,2.222916666666667,5.6
1960-02-05,-1.3,3.360416666666666,9.0
1960-02-06,4.9,8.791666666666666,12.9
1960-02-07,5.4,10.066666666666668,13.8
1960-02-08,5.8,11.580434782608696,15.8
1960-02-09,3.5,6.630434782608695,9.3
1960-02-10,-1.0,2.275,6.1
1960-02-11,-4.0,-0.9833333333333334,1.9
1960-02-12,-4.0,-0.8937499999999999,1.7
1960-02-13,-1.9,2.1750000000000003,5.3
1960-02-14,0.1,2.977083333333333,6.6
1960-02-15,-5.2,-0.7854166666666664,2.7
1960-02-16,-3.8,2.1,8.1
1960-02-17,2.4,4.817391304347828,7.9
1960-02-18,-0.7,2.310416666666667,6.3
1960-02-19,0.0,4.9125000000000005,9.7
1960-02-20,0.8,5.495652173913043,9.8
1960-02-21,-1.3,1.5708333333333337,4.7
1960-02-22,-0.5,4.129166666666666,9.3
1960-02-23,2.6,7.6312500000000005,13.4
1960-02-24,6.6,10.454166666666664,15.1
1960-02-25,7.3,10.343478260869562,12.0
1960-02-26,5.2,5.968181818181818,7.1
1960-02-27,0.6,5.108333333333334,8.3
1960-02-28,1.9,6.39375,11.5
1960-02-29,5.2,8.329166666666666,13.0
1960-03-01,3.7,7.122727272727274,11.4
1960-03-02,3.5,6.354545454545454,9.2
1960-03-03,1.9,3.3,5.8
1960-03-04,1.8,4.6090909090909085,7.4
1960-03-05,3.6,7.540909090909093,13.6
1960-03-06,8.6,11.63695652173913,14.8
1960-03-07,7.1,8.29047619047619,10.0
1960-03-08,2.5,8.97272727272727,15.2
1960-03-09,5.6,7.252272727272729,10.5
1960-03-10,2.2,8.017391304347827,13.2
1960-03-11,10.0,12.882608695652175,16.6
1960-03-12,-0.1,9.06304347826087,13.3
