date,min,average,max
1960-01-01,-2.8,-0.9749999999999999,1.6
1960-01-02,-4.2,-0.4237499999999998,1.8
1960-01-03,0.65,4.01375,7.4
1960-01-04,0.2,6.635,9.3
1960-01-05,-6.6,-2.745,1.75
1960-01-06,-8.4,-4.2,-1.2
1960-01-07,-2.033333333333333,1.6650000000000003,4.3
1960-01-08,0.5,1.7124999999999997,3.5
1960-01-09,1.7,2.545000000000001,4.2
1960-01-10,-0.6,2.084375,3.7
1960-01-11,-4.5,-1.7899999999999998,1.7333333333333334
1960-01-12,-6.2,-4.025,-0.5
1960-01-13,-7.3,-2.4762500000000003,-0.2
1960-01-14,-5.0,-0.5312500000000001,1.4
1960-01-15,-7.0,-5.159375,-3.7
1960-01-16,-6.8,-4.3999999999999995,-1.4
1960-01-17,-8.0,-3.8312499999999994,-0.8
1960-01-18,-4.6,-2.053125,0.9
1960-01-19,-2.1,0.35500000000000004,4.0
1960-01-20,-2.1,0.040000000000000015,1.2
1960-01-21,-8.9,-4.820833333333333,-2.0
1960-01-22,-11.0,-8.345833333333333,-5.8
1960-01-23,-14.4,-12.364583333333334,-10.2
1960-01-24,-15.0,-11.700520833333334,-8.0
1960-01-25,-13.6,-7.7140625,-3.0
1960-01-26,-11.7,-8.422916666666666,-5.7
1960-01-27,-12.6,-9.025,-6.8
1960-01-28,-12.566666666666666,-9.265,-7.2
1960-01-29,-11.2,-7.525,-3.5
1960-01-30,-5.1,0.003125000000000322,4.0
1960-01-31,0.9,2.28125,3.5
1960-02-01,-1.2,1.6687500000000002,5.0
1960-02-02,-4.2,0.3500000000000002,4.4
1960-02-03,-1.2,1.5950000000000002,4.7
1960-02-04,-3.1,-0.48333333333333345,1.6
1960-02-05,-3.8,0.49166666666666664,4.6
1960-02-06,1.7,4.737500000000001,7.7
1960-02-07,4.0,6.629166666666666,10.0
1960-02-08,6.5,8.342500000000001,10.4
1960-02-09,-0.5,3.1875000000000004,5.466666666666667
1960-02-10,-4.4,-2.09,-0.1
1960-02-11,-4.7,-2.7825,-1.1
1960-02-12,-6.3,-3.240625,-1.4
1960-02-13,-0.5666666666666665,2.621875,5.0
1960-02-14,-1.7,0.23749999999999993,1.8
1960-02-15,-4.1,-0.9999999999999997,1.5
1960-02-16,-3.7,-0.3257812499999998,2.1
1960-02-17,-1.3,2.1781250000000005,5.8
1960-02-18,-4.2,-1.5374999999999996,1.0
1960-02-19,-0.6,2.9562500000000003,6.2
1960-02-20,0.7,3.05,4.8
1960-02-21,-2.1,0.017500000000000005,3.4
1960-02-22,-3.6,0.5800000000000001,3.8
1960-02-23,-1.1,1.6375,5.1
1960-02-24,2.2,4.25,6.0
1960-02-25,2.0,4.803125,6.1
1960-02-26,-1.7,2.31,6.5
1960-02-27,-0.9,2.7375000000000003,6.3
1960-02-28,0.3,3.6968750000000004,6.8
1960-02-29,2.0,4.91875,8.0
1960-03-01,1.3,5.308823529411765,9.3
1960-03-02,1.0,6.270588235294118,10.7
1960-03-03,-3.3,2.025,5.7
1960-03-04,1.8,3.8166666666666664,7.5
1960-03-05,0.3,5.85,11.1
1960-03-06,4.4,6.202380952380951,8.6
1960-03-07,3.3,10.161764705882353,16.0
1960-03-08,5.2,8.738235294117647,11.4
1960-03-09,6.4,11.91,16.2
1960-03-10,4.7,8.271428571428572,12.5
1960-03-11,5.2,6.826470588235295,8.4
1960-03-12,-3.2,1.7117647058823524,5.533333333333333
1960-03-13,-4.3,-1.6617647058823528,1.0
1960-03-14,-5.0,0.3324999999999999,3.2
1960-03-15,1.6,4.355208333333334,8.0
1960-03-16,0.8,5.0249999999999995,10.0
1960-03-17,2.6,5.264705882352941,7.9
1960-03-18,2.1,7.404999999999999,12.9
1960-03-19,4.9,8.576190476190476,12.3
1960-03-20,7.2,8.53235294117647,9.966666666666667
1960-03-21,3.6,6.514999999999999,8.3
1960-03-22,-0.1,3.814285714285714,7.2
1960-03-23,4.366666666666666,5.28529411764706,5.8
1960-03-24,1.5,7.23529411764706,11.3
1960-03-25,4.4,5.602941176470589,7.566666666666666
1960-03-26,3.8,5.605882352941176,8.0
1960-03-27,2.4,5.458823529411765,8.5
1960-03-28,4.8,9.591176470588236,13.3
1960-03-29,11.266666666666667,12.924999999999997,13.6
1960-03-30,6.6,8.895833333333334,13.0
1960-03-31,3.1,6.138095238095239,8.4
1960-04-01,-0.2,2.8352941176470585,5.4
1960-04-02,0.1,3.673529411764706,6.5
1960-04-03,2.3,6.579411764705883,9.9
1960-04-04,5.4,7.061764705882353,9.1
1960-04-05,2.6,5.529411764705883,7.4
1960-04-06,4.3875,7.431875,10.5
1960-04-07,0.1,3.979166666666666,7.4
1960-04-08,1.6,6.215,10.7
1960-04-09,4.7,10.478571428571426,16.4
1960-04-10,7.762500000000001,11.008125,14.0
1960-04-11,4.0,9.0875,14.8
1960-04-12,9.2,13.141176470588235,18.0
1960-04-13,8.5,9.876470588235293,10.6
1960-04-14,7.8,9.38,11.4
1960-04-15,6.9,8.654166666666669,11.7
1960-04-16,6.2,7.704166666666667,10.6
1960-04-17,3.7,7.533333333333334,11.5
1960-04-18,4.0,8.283333333333333,11.7
1960-04-19,5.8,10.142857142857142,13.6
1960-04-20,8.1,11.37,14.6
1960-04-21,5.8,9.028571428571428,13.2
1960-04-22,10.5,11.405882352941179,12.6
1960-04-23,9.5,13.889375000000001,17.6
1960-04-24,11.8,14.229166666666666,18.1
1960-04-25,11.9,14.58529411764706,18.1
1960-04-26,11.9,16.35,21.7
1960-04-27,10.9,14.385714285714284,19.5
1960-04-28,8.1,13.385,19.6
1960-04-29,9.0,11.552380952380954,15.9
1960-04-30,8.7,14.041176470588235,18.2
1960-05-01,11.1,13.76470588235294,17.0
1960-05-02,7.8,16.714999999999996,22.1
1960-05-03,17.0,17.82619047619048,19.1
1960-05-04,13.8,17.376470588235293,20.0
1960-05-05,10.1,14.668750000000003,19.8
1960-05-06,9.0,13.508333333333331,19.2
1960-05-07,10.5,14.232352941176472,18.0
1960-05-08,10.7,14.426470588235295,18.0
1960-05-09,10.7,12.252941176470587,13.166666666666666
1960-05-10,10.3,13.205882352941176,16.4
1960-05-11,10.2,14.070000000000002,17.6
1960-05-12,13.2,15.259523809523811,18.2
1960-05-13,12.6,15.005882352941175,16.4
1960-05-14,12.6,16.21,20.1
1960-05-15,12.0,13.195238095238096,14.8
1960-05-16,10.6,12.553125,14.0
1960-05-17,12.525,14.83072916666667,18.9
1960-05-18,12.7,14.42857142857143,17.6
1960-05-19,11.6,14.34705882352941,16.8
1960-05-20,12.8,15.085000000000003,17.9
1960-05-21,11.9,14.345238095238095,18.4
1960-05-22,13.1,15.749999999999996,18.0
1960-05-23,14.0,16.86470588235294,20.2
1960-05-24,14.4,18.34705882352941,22.0
1960-05-25,16.7,21.955882352941178,27.5
1960-05-26,15.2,19.229411764705876,22.7
1960-05-27,14.1,16.511764705882353,19.0
1960-05-28,14.1,15.27,17.1
1960-05-29,13.3,16.685714285714283,21.2
1960-05-30,13.8,15.891176470588235,18.2
1960-05-31,11.7,17.126470588235293,21.6
1960-06-01,15.4,17.788095238095238,21.3
1960-06-02,15.6,17.05294117647059,18.6
1960-06-03,14.3,16.1,17.3
