date,min,average,max
1960-01-01,-3.7,-1.2800000000000002,2.2
1960-01-02,-5.0,-2.0933333333333333,-0.2
1960-01-03,-1.0,3.3066666666666666,7.4
1960-01-04,4.5,8.113333333333335,10.8
1960-01-05,-7.4,-3.486666666666667,1.9333333333333331
1960-01-06,-9.0,-5.293333333333334,-2.5
1960-01-07,-3.6,1.142105263157895,5.8
1960-01-08,0.4,1.3649999999999998,3.0
1960-01-09,1.0,2.784210526315789,4.8
1960-01-10,-0.2,1.7874999999999999,3.9
1960-01-11,-4.6,-1.6395833333333334,2.7
1960-01-12,-7.2,-3.716666666666665,1.0
1960-01-13,-8.5,-3.670833333333334,1.1
1960-01-14,-5.2,-0.9250000000000002,2.0
1960-01-15,-7.7,-4.9958333333333345,-2.3
1960-01-16,-7.8,-4.7749999999999995,-1.4
1960-01-17,-9.6,-5.758333333333332,-1.3
1960-01-18,-6.5,-3.3749999999999996,-0.2
1960-01-19,-1.4,1.602083333333333,6.2
1960-01-20,-3.0,-0.08333333333333338,1.6
1960-01-21,-9.3,-5.345833333333334,-3.4
1960-01-22,-11.7,-9.120833333333334,-5.0
1960-01-23,-15.4,-12.895833333333336,-9.9
1960-01-24,-16.5,-12.862499999999999,-8.3
1960-01-25,-15.0,-8.852380952380953,-0.9
1960-01-26,-11.6,-7.647619047619047,-4.1
1960-01-27,-13.9,-9.8375,-7.6
1960-01-28,-14.9,-11.412500000000001,-7.1
1960-01-29,-14.1,-7.995833333333334,-2.1
1960-01-30,-5.9,-1.0333333333333334,4.4
1960-01-31,0.1,2.220833333333333,5.8
1960-02-01,-1.3,1.9449999999999998,5.7
1960-02-02,-4.5,0.4791666666666667,6.1
1960-02-03,-1.3,1.3875000000000002,5.7
1960-02-04,-4.3,-1.1375000000000002,1.9
1960-02-05,-6.0,0.26250000000000057,6.5
1960-02-06,1.4,5.6225000000000005,11.5
1960-02-07,5.8,9.235,12.7
1960-02-08,7.3,9.358333333333333,13.2
1960-02-09,-0.9,3.904166666666667,7.0
1960-02-10,-5.7,-2.7249999999999996,0.2
1960-02-11,-5.8,-3.641666666666667,-0.8
1960-02-12,-8.2,-4.420833333333333,0.1
1960-02-13,-4.7,0.2999999999999998,4.2
1960-02-14,-3.3,-0.42500000000000004,2.9
1960-02-15,-5.0,-1.1958333333333335,4.6
1960-02-16,-5.6,-0.6875,5.0
1960-02-17,-1.8,1.5208333333333333,6.8
1960-02-18,-5.4,-1.5916666666666666,2.4
1960-02-19,-2.6,2.8708333333333336,8.2
1960-02-20,0.5,3.6875000000000004,6.5
1960-02-21,-1.8,0.1708333333333335,4.2
1960-02-22,-4.5,0.05000000000000027,5.6
1960-02-23,-3.9,2.0000000000000004,8.2
1960-02-24,-0.7,3.4375000000000004,8.3
1960-02-25,2.8,5.266666666666667,6.6
1960-02-26,-1.3,2.3,6.0
1960-02-27,-1.6,1.8083333333333333,6.7
1960-02-28,-2.1,3.3874999999999997,9.1
1960-02-29,1.1,4.979166666666666,10.3
1960-03-01,0.4,7.3075,13.7
